Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Individual Customer Service Information:
Customer        Arrival        Service          Queue         Teller      Time Serv      Time Cust      Time Serv     Time Spent
ID              Time           Time            Loc            Loc         Begins          Waits           Ends         in Sys
----            ----           ----           ----           ----           ----           ----           ----           ----
452            442.7          18.37              1              1         513.78          71.08         522.52          79.82
454           444.88          12.43              1              1         522.52          77.64         528.14          83.26
467           461.78          18.39              0              0         521.87          60.09         541.23          79.45
461           457.59          12.26              1              1         528.14          70.54         544.52          86.92
477           468.15          17.46              0              0         541.23          73.08         547.39          79.24
462           457.76           1.49              1              1         544.52          86.76         547.53          89.77
485           472.75          14.56              0              0         547.39          74.64         552.84          80.09
490           476.38           4.03              1              1         547.53          71.15         564.61          88.23
489           475.85           6.45              0              0         552.84             77         575.22          99.37


Customers who did not stay:
Customer        Arrival        Service
Id              Time           Time
----            ----           ----
25             20.67           7.55
26             23.26          32.38
28             24.71           0.38
29             25.39           3.77
30             26.81           8.67
31             27.26            2.3
32             27.97           8.07
33             28.21           3.05
37             34.26          16.99
38             35.57          12.62
39             37.49          11.75
40             38.04           3.07
41             38.11           1.31
42             38.56           0.74
44             40.61          18.15
45             41.21           0.68
46             41.24          41.67
47             41.96           3.78
48             42.55           11.2
50             44.35          10.04
51             44.46           1.76
52             45.14           6.72
53             45.54           3.76
56              50.3           2.11
58             51.02           18.4
59             51.27          22.58
60             54.51           8.96
62             58.77           0.35
63             58.94           6.63
64             58.97           0.51
65             59.54           7.64
66             59.67           6.82
67             60.25           2.07
68             60.58           7.92
69              62.4           4.84
71             62.93          15.16
72             65.48           2.23
73             65.61           0.35
74             65.92           10.8
75              66.1           0.13
76             66.36           2.68
77             67.04           0.08
78             68.28           3.99
79             69.13            1.8
80             69.32           7.62
81              70.5           9.04
82             71.12          21.34
83             71.44           0.41
84             72.81          12.34
85             74.28          10.22
88                78           2.88
89             78.28           4.74
90             78.41           6.54
92              80.4           0.82
93             81.62           4.03
95             81.84           9.42
96             82.13          11.78
98             84.78           2.09
99             85.81          19.49
100            86.63           6.36
101            87.75           6.56
102            88.59              9
103            89.69          26.31
104            89.75           8.12
107            94.61          10.71
108            95.75            3.9
109            96.13           2.08
111            99.26          25.75
112           100.41          31.84
114           102.66            1.4
116           104.64          13.81
117           106.34           1.58
118            106.5           1.19
119           110.24           9.71
120           110.37           8.01
121           111.13           6.31
123           112.13           1.54
124           113.81           3.12
125           114.54           1.83
127           115.41            8.1
128            115.6           25.2
129           115.88           1.68
131           117.24           1.89
133           119.99          19.02
134           120.96          35.88
135           121.99           1.67
136           122.96          40.34
140           128.08           4.12
141           129.09            0.3
142           129.93           4.33
144           131.06           1.91
145           132.01          27.11
147           136.75           7.81
148           136.76           3.39
149           137.07           8.75
150            137.2           2.81
153           139.51            8.8
154           140.97           3.69
155              144           13.5
156           144.91           6.55
157           145.03           3.09
158           145.24           3.74
159           145.45          11.39
160           145.72          11.76
161           145.95           5.82
162           145.95          10.36
163           146.47            1.8
164           146.59           8.31
165           147.91          22.58
166           148.25           5.92
167           149.18           8.33
168           150.33          16.12
169           151.56             19
170           157.88          13.51
171            159.6           0.96
172           159.72           0.54
173              160          10.27
174           160.36            3.5
175           160.47            1.6
176           160.61           1.31
177           162.58          30.45
178           164.65          25.99
179           164.93           8.84
180           165.79           2.75
181           166.24           3.04
184           170.33          33.17
185           170.89           2.15
187           172.98           1.59
188            173.4          10.25
189           174.22          25.48
190           175.04          13.54
191           177.21          19.21
192           177.35           3.27
193           177.75           5.45
195           179.57          13.34
196           181.84           0.78
197            181.9           1.55
198           181.92          18.77
199           181.96           2.07
201           183.39           8.58
203            187.3           0.07
204           187.69           2.19
205           190.01          12.72
206           190.62          44.66
207           191.53           0.97
209           193.08           1.59
210           194.36           7.32
211           194.97           24.7
212           196.03           0.75
213           197.09           1.19
214           197.56           19.1
215           197.82           0.15
216           198.69           2.38
217           199.22           0.08
218           200.37           1.68
219           200.72           3.73
220           201.15          10.13
221            201.9          18.98
222           202.03           9.28
223           202.86           5.19
224           203.09          17.56
226           205.06          46.16
227           206.22           8.83
228           206.85           7.95
230           209.61           2.37
231           210.08           3.83
232           211.14           12.2
233           213.48           3.15
234           213.57           0.81
235           213.59          10.25
236           214.01          10.79
238           214.98          19.31
239           216.09           3.61
240           216.45           5.93
241           217.54           4.61
242           218.35          15.34
245           224.28           3.38
247           230.25          18.46
248           231.07            5.6
249           231.53           3.23
250           232.49           8.12
251           233.25           3.27
252           233.26            7.3
254           234.48           5.85
256            236.7           0.37
258           239.18          25.74
259           240.29           2.98
260            240.5           2.07
262           242.08          11.66
263            242.2           1.82
264            243.9           1.82
268           252.48          12.95
270            254.6           3.05
271              255           4.11
272           255.75           3.09
273           256.74           4.84
274           257.17           9.97
275           258.08          14.54
276           258.35           2.16
277           258.84          28.88
278           260.75           2.57
279           261.76           8.66
280           263.17           0.96
281           264.72           14.1
283           266.19           2.95
284           267.48           7.52
286           269.41          19.28
287           269.69           9.87
289           270.55           0.66
290           270.92           13.4
292           272.16           1.53
293           272.56           1.41
294           272.79           0.46
295            273.2           0.25
296           274.81           0.03
297            275.4           4.57
298           275.88           5.74
300            278.4           0.09
301           283.79           6.06
302           284.04           1.32
304            286.3           3.44
305            286.7           2.57
306           287.44           8.22
307           287.58          10.07
308            289.3          10.56
309            292.9            7.4
310           294.18           0.44
312           298.24          17.85
314           298.64          12.21
315            299.3            5.2
317           300.04          33.65
319           303.47           3.48
320           303.99          13.77
322           306.51          10.04
324           307.31           0.12
325           307.48           8.35
326           307.53              2
327           308.64          16.05
328           312.11            7.4
329           313.06           3.68
330           314.34           4.76
331           314.43           2.43
332           315.41           6.28
333           316.23          10.97
334           316.66           2.05
335           318.89           7.73
336           319.51            9.2
337           320.78          18.77
338           321.67           0.61
340           324.22           4.25
341           324.55           15.3
342           324.73           4.07
343           326.16           0.05
344           329.38           3.64
346           331.01           1.34
347            331.3           1.03
348           331.82           2.96
349           332.65          11.41
350           333.42           1.46
351           333.53           9.74
352           334.25           0.85
353           335.29          17.65
354           335.39           3.57
356           340.61          13.41
357           342.75           2.41
360           346.84           5.45
362           349.02          17.78
364           351.89          35.45
365           354.14           3.34
367           355.22          20.24
368           355.33           4.34
369           355.68           3.86
370           356.26          17.03
372           359.59          11.53
373           360.65           9.63
374           361.33            5.7
375           361.66            0.5
376           362.08           4.19
377            364.2           3.83
378           364.39          10.54
379           364.42           16.9
380           366.04           6.47
381           366.04           0.74
382           366.69           8.83
383           366.72           1.22
384           369.46           0.81
385           370.81           3.35
